Sexe,Age_Bac,Serie_Bac,Etablissement,Lieu_Habitation_Bac,Matieres_Preferees,Secteur_Desire,Competences_Techniques,Note_Maths,Note_Francais_Ecrit,Note_Francais_Oral,Note_Anglais_Ecrit,Note_Anglais_Oral,Note_Philo,Note_Physique_Chimie,Note_SVT,Note_Histoire_Geo,Note_EPS,Note_Espagnol_Ecrit,Note_Espagnol_Oral,Note_Facultative_1,Note_Facultative_2,Points_BAC,Personnalite,Religion,Secteur_Activite_Famille,Secteur_Activite,Justification_Choix,Descriptions
Masculin,18,C,Lycée Martin Luther King de Bouaké ,Bouaké ,"Mathematiques, SVT, Science Physique",Informatique / Télécoms,Non,13.0,11.0,14.0,12.5,14.0,8.0,15.0,12.0,10.0,10.0,11.0,12.0,15.0,14.0,230.0,"Ouvert, Chaleureux, Obstiné, Passionné, Ethique",Islam,Achat / Transports / Logistique,Informatique / Télécoms,"Passion personnelle, Innovation et créativité, Environnement de travail agréable","Formation initiale, Stage ou apprentissage, Première expérience professionnelle, Développement de compétences spécifiques, Évolution de poste, Gestion de projets, Spécialisation dans un domaine, Certification ou formation continue, Résolution de défis majeurs, Reconnaissance professionnelle"
Masculin,17,D,COLLEGE LES PHALENES 2 DE YOPOUGON,YOPOUGON,"Mathematiques, SVT, Science Physique, Français",Santé,NON,15.0,5.0,14.0,14.0,10.0,13.0,12.0,10.0,14.0,16.0,11.0,12.0,15.0,14.0,229.0,"Ouvert, Chaleureux, Sympathique, Accessible, Fiable, Sociable, Consciencieux",Islam,"Banque / Assurance /Finances, Commerce / Négoce / Distribution, Industrie pharmaceutique, Informatique / Télécoms, Santé",Banque / Assurance /Finances,"Environnement de travail agréable, Formation académique","Stage ou apprentissage, Première expérience professionnelle, Développement de compétences spécifiques, Évolution de poste, Résolution de défis majeurs, Reconnaissance professionnelle"
Féminin,17,D,Lycée Mamie Adjoua de Yamoussoukro ,Cocody,"Mathematiques, SVT, Science Physique",Santé,Non,17.0,13.0,15.0,12.5,10.0,11.0,13.0,10.0,10.0,16.0,11.0,12.0,15.0,14.0,268.0,"Chaleureux, Réservé, Timide, Changeant, Doux, Accessible, Optimiste, Respectueux, Tolérant, Utile",Islam,"Commerce / Négoce / Distribution, Informatique / Télécoms, Administration des entreprises, Droit, Santé",Informatique / Télécoms,"Passion personnelle, Opportunités de carrière, Sécurité de l'emploi, Impact social, Évolution rapide, Innovation et créativité, Environnement de travail agréable, Formation académique","Formation initiale, Première expérience professionnelle, Développement de compétences spécifiques, Gestion de projets"
Masculin,18,D,Lycée Moderne Tanda,TANDA,"Mathematiques, SVT, Science Physique",Informatique / Télécoms,Non,11.0,12.0,16.0,12.5,16.0,11.0,14.0,14.0,9.0,15.0,11.0,12.0,15.0,14.0,261.0,Réservé,Christianisme,Informatique / Télécoms,Informatique / Télécoms,Passion personnelle,Spécialisation dans un domaine
Masculin,18,C,Lycée Houphouët boingny ,Korhogo ,"Mathematiques, Science Physique, Français, EPS",Chimie / Parachimie,Non,16.0,14.0,18.0,12.5,14.0,11.0,8.0,12.0,14.0,19.0,11.0,12.0,15.0,14.0,248.0,"Chaleureux, Sérieux, Timide, Calme, Sympathique, Doux, Passionné, Cohérent",Islam,"Banque / Assurance /Finances, Études et conseils, Informatique / Télécoms",BTP / Matériaux de construction,Passion personnelle,"Formation initiale, Développement de compétences spécifiques"
Masculin,16,C,Lycée Houphouët Bobigny de Korhogo ,Korhogo ,"Mathematiques, SVT, Science Physique, Histoire Geographie, PHYLOSOPHIE, EPS",Informatique / Télécoms,"Plusieurs en sciences physiques, en mathématiques ",8.0,13.0,13.0,12.5,10.0,11.0,10.0,11.0,12.0,15.0,11.0,12.0,15.0,14.0,210.0,"Ouvert, Facile, Energetique, Sympathique, Obstiné",Islam,"Droit, Sciences humaines, Santé",Informatique / Télécoms,"Passion personnelle, Opportunités de carrière, Salaire attractif, Sécurité de l'emploi, Impact social, Flexibilité, Évolution rapide, Possibilité de promotion, Innovation et créativité, Environnement de travail agréable, Formation académique","Formation initiale, Stage ou apprentissage, Première expérience professionnelle, Développement de compétences spécifiques, Évolution de poste, Gestion de projets, Encadrement d'équipe, Spécialisation dans un domaine, Expérience internationale, Certification ou formation continue, Résolution de défis majeurs, Reconnaissance professionnelle"
Masculin,17,D,College catholic Mgr kirman de daloa ,Daloa ,"Mathematiques, SVT, Science Physique",Informatique / Télécoms,Oui j'ai appris la programmation phyton les base de l'algorithme et je regardais beaucoup de vidéo sur les sience et l'ingénierie ce n'est pas que l'informatique qui me passionnait mais 'es machine en général ,14.0,11.0,14.0,12.5,14.0,10.5,13.0,12.0,10.0,15.0,11.0,12.0,15.0,14.0,248.0,"Gai, Réservé, Timide, Renfermé, Difficile, Energetique, Sympathique, Passionné, Anxieux, Respectueux, Tolérant, Diplomatique, Transparent",Option 6,"Commerce / Négoce / Distribution, Études et conseils, Sciences humaines",Électronique / Électricité,"Passion personnelle, Opportunités de carrière, Salaire attractif, Sécurité de l'emploi, Flexibilité, Évolution rapide, Possibilité de promotion, Innovation et créativité, Environnement de travail agréable",Formation initiale
Masculin,18,D,LYCEE MUNICIPAL 1 KOUMASSI,KOUMASSI,"Mathematiques, SVT, Science Physique, Anglais",Santé,Non,15.0,13.0,12.0,12.5,15.0,8.0,18.0,8.0,7.0,14.0,11.0,12.0,15.0,14.0,249.0,"Réservé, Timide, Renfermé, Difficile, Changeant, Ambitieux, Passionné, Anxieux, Analytique, Ethique, Perspicace, Polyvalent, Idéaliste, Confiant, Loyal, Sociable, Consciencieux",Christianisme,"Chimie / Parachimie, Informatique / Télécoms, Agriculture",Informatique / Télécoms,"Opportunités de carrière, Évolution rapide","Première expérience professionnelle, Développement de compétences spécifiques"
Féminin,20,C,Lycée moderne jeunes filles de bouaké ,Bouaké Air France ,"Mathematiques, Anglais, EPS",Arts,Non,13.0,15.0,16.0,14.0,17.0,13.0,11.0,13.0,12.0,15.0,11.0,12.0,15.0,14.0,240.0,"Chaleureux, Réservé, Changeant, Autoritaire, Calme, Obstiné, Passionné, Anxieux, Logique, Habile, Tenace, Polyvalent, Respectueux",Islam,"Agroalimentaire, Commerce / Négoce / Distribution, Informatique / Télécoms",Informatique / Télécoms,"Opportunités de carrière, Salaire attractif, Sécurité de l'emploi, Évolution rapide, Innovation et créativité","Formation initiale, Stage ou apprentissage, Développement de compétences spécifiques, Expérience internationale"
Féminin,20,D,Lycée Municipal  2 Koumassi,Koumassi,"Mathematiques, Science Physique, Histoire Geographie",Informatique / Télécoms,Non,12.0,12.0,10.0,12.0,12.0,9.0,12.0,10.0,12.0,15.0,11.0,12.0,15.0,10.0,202.0,"Gai, Chaleureux, Facile, Sympathique, Accessible",Islam,"Commerce / Négoce / Distribution, Administration des entreprises, Marketing",Informatique / Télécoms,Passion personnelle,"Stage ou apprentissage, Gestion de projets, Certification ou formation continue"
